,url,title,published,content,tag
16,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"After Greta Thunberg last year, Joe Biden and Kamala Harris have together been named “Person of the Year” by Time Magazine. Why? Because the new presidency will give a boost to international climate action.",p
17,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Biden integrated sustainability at the core of his presidential campaign: he already set out an ambitious plan to tackle the US’s GHG emissions. The easiest step is to reintegrating the Paris Climate Agreement. Once Biden sends a letter to the United Nations expressing an intent to rejoin, the U.S. will formally return after 30 days; he does not need Senate support to do so. A big challenge would be the adoption of a strategy to get the country on the track to reduce emissions after four years of loss to the pro-fossil fuel agenda.",p
18,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The Biden Administration has been called the most ambitious of any US administration yet, with a proposed $1.7 trillion investment into taking the U.S. to net-zero emissions by 2050. Biden states that it will contribute positively to the American economy and its workers. Then, Biden will hold a climate summit with the G-20, the world’s largest economies, within 100 days of entering office. The aim is to draft a mandatory standard for global businesses to measure and report the risks they face from climate change. ",p
19,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,America will be back working with our partners around the world to ensure we realize those goals for the sake of our families and future generations.,p
20,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Last weekend, the UN with France and U.K. hosted a “Climate Ambition Summit“, marking the fifth anniversary of the Paris Agreement, with 75 country leaders. The US were excluded from the discussion, alongside Australia, Brazil, Russia, Mexico and Saudi Arabia; as these countries failed to meet climate targets in line with the Paris Accord. ",p
21,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"However, Biden made a written statement to confirm his intentions to rejoin the treaty. On this claim, António Guterres, the UN secretary-general, said: “It is a very important signal. We look forward to a very active US leadership in climate action from now on as US leadership is absolutely essential. The US is the largest economy in the world, it’s absolutely essential for our goals to be reached.”",p
22,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"Embrace the vibrant city of Beirut, with this eclectic music selection from the Arab World. This playlist for the planet is curated by Karim Berbari, our business analyst at Plan A. ",p
23,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"When asked about the creation of this unique music playlist, he commented: “The news only covered a few days around the devastating event of the 4th of August, but we need to keep Beirut on people’s mind because nothing has been restored since then.” Let’s send peace messages with the love of music. ",p
24,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,A deep dive into the music’s Arab World,h2
25,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"The Spotify music playlist starts with the enchantress voice of Fairuz, a Lebanese singer, and one of the most famous performers in the history of the Arab World. Then, it is time for Ziad Rahbani to make us travel to Beirut with a jazzy note, thanks to his composition named “Rouh Kabbir” – it is important to mention that Ziad is the son of the notorious Fairuz. The playlist is then overtaken by Mashrou’ Leila, an indie-rock band composed of four members, founded in Beirut in 2008 as part of a University music project. This band deserves real close attention. ",p
26,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"Then, discover Hamid El Shaeri, a Lebanese-Egyptian musician based in Cairo, and pioneer Arab pop music. His song “Ayonha” is the sweetest thing you will listen to today. Finish this music playlist with Hello Psychaleppo or as he likes to call himself “The Arab bass dropper”. Hailing from one of the most mystical and musically rich cities in the Levant. Hello, Psychaleppo is deeply rooted in Arabic music tradition, captivating listeners with melodic strains of Tarab threaded seamlessly together with electronic music’s convoluted sounds. Embrace Beirut and its one of a kind artists.",p
27,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Christmas is just around the corner! Unfortunately, this year many of us won’t be able to celebrate the office Christmas party how we’d like to. To wrap up 2020, the Plan A team is helping you plan the imaginary party of your dreams.",p
28,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Before we start, here are a few statistics on the carbon footprint caused by end of the year parties. Partying is fun, but let’s remember not to give Mother Nature a hangover. ",p
29,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,It is time for the office Christmas Party Quiz!,h2
30,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,Find out how sustainable your Christmas Party would have been. ,p
31,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,May the Merry Force be with you! ,h2
32,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"It is the fifth anniversary of the Paris Climate Agreement. At the same time, the global average temperature has risen around 1-degree celsius. It is time to speed up on climate action, especially for the United States. ",p
33,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The US President-Elect Joe Biden vows to rejoin the Paris Agreement on his first day of office on 20 January 2021. With the US back on track, all 197 signatories to the United Nations Framework Convention on Climate Change will have ratified the historic treaty.",p
34,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"This follows the United States’ withdrawal from the Paris Climate Agreement on November 4th, 2020. The decision made it the first country in history to leave the Climate Agreement. It all started in 2017, when former U.S. President Donald Trump decided to “cease all implementation of the non-binding Paris Accord and the draconian financial and economic burdens the agreement imposes.” However, the process took three years, because no country could give the notice to leave the Paris agreement until three years had passed after ratification.",p
35,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Administration will rejoin it. https://t.co/L8UJimS6v2— Joe Biden (@JoeBiden) November 5, 2020",p
36,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Today, the Trump Administration officially left the Paris Climate Agreement. And in exactly 77 days, a Biden Administration will rejoin it. https://t.co/L8UJimS6v2",p
37,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,What is the Paris Agreement?,h2
38,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The Paris Agreement is a legally binding treaty on climate change. It was adopted in Paris – hence the title – on December 12th, 2015. It came into force on 4th November 2016. The goal of the treaty is to limit global warming below 2°C to 1.5°C; compared to pre-industrial levels. It aims to prevent climate change’s worst effects. The Paris Agreement is a landmark in the multilateral climate change process, as it brings all of the world’s nations into one common cause – fighting climate change.",p
39,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Countries are aiming to cut their greenhouse gas emissions (GHG) rapidly, to reach carbon-neutrality by 2030. To reach this goal, each signatory is required to submit national plans, known as nationally determined contributions (NDCs), every five years to limit emissions. They must also regularly report on their climate actions and whether they are on track to meet their NDCs. Members of the treaty would set those targets voluntarily, as it is not legally binding.",p
40,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"With only ten years remaining on the Paris goal, and the environmental impact of 2020, governments have to implement their climate targets rapidly. As Trump exited the US from the Paris Climate Agreement, Biden will have a hard time to put the country back on track- the U.S. is the world’s second-largest emitter, accounting for 25% of global GHG emissions. ",p
41,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,Here is an explanatory video on “The Paris Agreement for Climate Change” from WWF. Have a look!,p
42,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,Joe Biden on the road to pave a more sustainable America,h2
43,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"After Greta Thunberg last year, Joe Biden and Kamala Harris have together been named “Person of the Year” by Time Magazine. Why? Because the new presidency will give a boost to international climate action.",p
44,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Biden integrated sustainability at the core of his presidential campaign: he already set out an ambitious plan to tackle the US’s GHG emissions. The easiest step is to reintegrating the Paris Climate Agreement. Once Biden sends a letter to the United Nations expressing an intent to rejoin, the U.S. will formally return after 30 days; he does not need Senate support to do so. A big challenge would be the adoption of a strategy to get the country on the track to reduce emissions after four years of loss to the pro-fossil fuel agenda.",p
45,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"The Biden Administration has been called the most ambitious of any US administration yet, with a proposed $1.7 trillion investment into taking the U.S. to net-zero emissions by 2050. Biden states that it will contribute positively to the American economy and its workers. Then, Biden will hold a climate summit with the G-20, the world’s largest economies, within 100 days of entering office. The aim is to draft a mandatory standard for global businesses to measure and report the risks they face from climate change. ",p
46,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,America will be back working with our partners around the world to ensure we realize those goals for the sake of our families and future generations.,p
47,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"Last weekend, the UN with France and U.K. hosted a “Climate Ambition Summit“, marking the fifth anniversary of the Paris Agreement, with 75 country leaders. The US were excluded from the discussion, alongside Australia, Brazil, Russia, Mexico and Saudi Arabia; as these countries failed to meet climate targets in line with the Paris Accord. ",p
48,https://plana.earth/academy/how-joe-biden-u-s-will-rejoin-paris-agreement/,How will Biden and the US rejoin the Paris Agreement?,2020-12-15,"However, Biden made a written statement to confirm his intentions to rejoin the treaty. On this claim, António Guterres, the UN secretary-general, said: “It is a very important signal. We look forward to a very active US leadership in climate action from now on as US leadership is absolutely essential. The US is the largest economy in the world, it’s absolutely essential for our goals to be reached.”",p
49,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"Embrace the vibrant city of Beirut, with this eclectic music selection from the Arab World. This playlist for the planet is curated by Karim Berbari, our business analyst at Plan A. ",p
50,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"When asked about the creation of this unique music playlist, he commented: “The news only covered a few days around the devastating event of the 4th of August, but we need to keep Beirut on people’s mind because nothing has been restored since then.” Let’s send peace messages with the love of music. ",p
51,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,A deep dive into the music’s Arab World,h2
52,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"The Spotify music playlist starts with the enchantress voice of Fairuz, a Lebanese singer, and one of the most famous performers in the history of the Arab World. Then, it is time for Ziad Rahbani to make us travel to Beirut with a jazzy note, thanks to his composition named “Rouh Kabbir” – it is important to mention that Ziad is the son of the notorious Fairuz. The playlist is then overtaken by Mashrou’ Leila, an indie-rock band composed of four members, founded in Beirut in 2008 as part of a University music project. This band deserves real close attention. ",p
53,https://plana.earth/academy/playlist-for-the-planet-arab-world-music-for-the-vibrant-city-of-beirut/,Playlist for the Planet: For the vibrant city of Beirut,2021-01-07,"Then, discover Hamid El Shaeri, a Lebanese-Egyptian musician based in Cairo, and pioneer Arab pop music. His song “Ayonha” is the sweetest thing you will listen to today. Finish this music playlist with Hello Psychaleppo or as he likes to call himself “The Arab bass dropper”. Hailing from one of the most mystical and musically rich cities in the Levant. Hello, Psychaleppo is deeply rooted in Arabic music tradition, captivating listeners with melodic strains of Tarab threaded seamlessly together with electronic music’s convoluted sounds. Embrace Beirut and its one of a kind artists.",p
54,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Christmas is just around the corner! Unfortunately, this year many of us won’t be able to celebrate the office Christmas party how we’d like to. To wrap up 2020, the Plan A team is helping you plan the imaginary party of your dreams.",p
55,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,"Before we start, here are a few statistics on the carbon footprint caused by end of the year parties. Partying is fun, but let’s remember not to give Mother Nature a hangover. ",p
56,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,It is time for the office Christmas Party Quiz!,h2
57,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,Find out how sustainable your Christmas Party would have been. ,p
58,https://plana.earth/academy/how-sustainable-is-your-office-christmas-party/,How sustainable is your office Christmas party?,2020-12-18,May the Merry Force be with you! ,h2
59,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"“Enjoy the disco fever with the best music tracks of all times. Travel back to the 70’s, wear your platform shoes and let’s meet at Paradise Garage. I was not born at this time period, but I wish I could travel back in time, listen to the best disco music, with the best blend of people.” ",p
60,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"This playlist for the planet is curated by Tara Deronzier Bernoville, our content creator.",p
61,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"“Get lost in music” with Sisters Sledge, while driving to the “Promised Land” with Joe Smooth. On your way there, someone stops and asks you “Do you wanna funk?” – you wait no further and dance, you are a “Pusherman” after all, would say Curtis Mayfield. You are into this “disco inferno” with The Trammps when you realize this was all an “Illusion”. It is time to go to bed and make yourself a “peanut butter” sandwich with Larry Levan and Gwen Guthrie.",p
62,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,You can funkin’ dance disco! ,h2
63,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,A brief history of Disco Music,h3
64,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"Disco music saved dancing. It marked the beginning and rise of social dancing, becoming an international activity, like playing cricket. Before to enter most clubs, you had to come as a couple. Otherwise, you were not allowed into the venue. For example, in New-York city until 1971, it was illegal for two men to dance together. The disco movement inspired social liberation, disrupting the norms, and allowing people to come as an individual, embracing themselves. ",p
65,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"Disco music saw the rise of DJs, where clubs would prefer playing records, rather than booking lives bands. Disco helped to develop sound system technology, mixers, loudspeakers, lighting – all the club kit. Artists like David Mancuso and Larry Levan created this musical wave. “Larry Levan was a pure genius” commented J.Phoenix, creator of Baganda records. Larry Levan was an American DJ, well-known for his decadent lifestyle and decade long residency at Paradise garage. His success was such, that he developed a music cult who referred to his sets as « Saturday Mass ». The disco music and dance movement started from the New-York clubs like Paradise Garage, or “The Loft”.",p
66,https://plana.earth/academy/playlist-for-the-planet-disco-funk-music-love-disco-dance-playlist/,Playlist for the Planet: Disco Music is Love,2020-12-14,"As now, all clubs are closed and dancing restricted to prevent the spread of the pandemic, listening to this funky playlist will warm your heart and soul. Disco music is love and happiness.",p
67,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,This is a contributor content piece. This article is originally published on Sofar Ocean.,p
68,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"For years (and we mean many years), the ocean helped us mitigate the early effects of human emissions by absorbing greenhouse gases, like carbon dioxide and heat, from the atmosphere. As a result, more than 90 per cent of the warming that happened on Earth between 1971 and 2010 occurred in the ocean. A selfless act by Mother Nature, but it’s catching up to us. ",p
69,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"Climate change, which describes long-term changes to temperature and typical weather, is accelerating at an alarming pace—and the impacts are hard to ignore. Let’s take a look at some changes to our ocean.",p
70,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,3 Ways Climate Change Affects Our Ocean ,h2
71,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Rising sea levels,h3
72,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"Sea levels are rising at the fastest rate in 3,000 years. From 2018 to 2019, the global sea level rose to 6.1 millimeters. Sure, a few millimeters doesn’t sound like a lot, until you hear that the average, since 1993, has been 3.2 millimeters per year. That means that last year we doubled the global average from the past twenty years! The same report shares that the U.S. East Coast’s average is actually three to four times the global average. The ocean is rising, and it’s rising fast.",p
73,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"The two major causes are thermal expansion (warm water expands), and melting glaciers and ice sheets. Why should we care? Rising sea levels increase the amount and severity of floods and shoreline erosion. It may also destroy wildlife habitats on the shoreline, interfere with coastal farming, and contaminate potable water sources. ",p
74,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Ocean acidification,h3
75,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"Ocean acidification is a chemical imbalance that stems from large amounts of carbon dioxide. Put simply, it increases the concentration of hydrogen ions and reduces the amount of carbonate ions. Shellfish and other sea life rely on carbonate ions to grow their shells and thrive. But with fewer carbonate ions, shells become thin and brittle, growth slows down, and death rates increase. Since the Industrial Revolution, ocean acidity has increased by 30%. With large shellfish die-offs, the whole marine food chain is affected—not the best news for the multi-billion dollar fishing industry.",p
76,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Extreme weather events,h3
77,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"With more heat in the atmosphere and warmer ocean surface temperatures, the world is experiencing an increase in the intensity and frequency of extreme weather events. For example, research suggests that the number of Category 4 and 5 hurricanes—characterized by higher wind speeds and more precipitation—is steadily increasing. To make matters worse, sea-level rise and a growing population along coastlines will exacerbate their impact. We’re predicting that coastal engineers and planners will be busy in the coming years.",p
78,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Mitigating These Effects With Data,h2
79,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"As demonstrated above, after years of emitting greenhouse gases, the effects of climate change are very evident. It’s time to collectively mitigate and reduce our carbon footprint. We’re going to come out and just say it—we believe it starts with better data. ",p
80,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"The current scale, pace, and practice of ocean scientific discovery and observation are not keeping up with the changes in ocean and human conditions. Current data is siloed and inaccessible—hindering a unified knowledge base for strategies and policy making.",p
81,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Here are some ways that data needs to improve,h2
82,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Affordability : According to the Global Ocean Science Report (compiled by UNESCO’s Intergovernmental Oceanographic Commission) ocean research is currently led by a small number of industrialized countries. Why? Because they can afford investments in data technology. Many coastal nations are not involved in building this knowledge base simply because they can’t afford the tools. Research is expensive.,p
83,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"By providing real-time information in actionable forms, this technology is incredibly useful for driving innovation. In order to accelerate the co-creation of knowledge and strategies, these tools need to be accessible to developing countries as well. Affordability and accessibility is the driving force behind Sofar Ocean’s Spotter buoys, which you can read more about here. ",p
84,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"Open data sharing : A major stumbling block to universal data synthesis is ownership. Government agencies, research, and private companies are all key players in ocean data collection and management, keeping these insights locked away for their own specific purposes. ",p
85,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"Data tagging, federated data networks, and data lakes should be combined to create a new era of open and automated ocean data access. Governments can lead the way by declassifying and sharing data that are relevant to ocean science and management. They can also incentivize companies and researchers to share data by making it a condition for access to public resources, such as funding for ocean research, permits for coastal development, or licenses for oil exploration or fishing.",p
86,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,Making Waves Requires Momentum,h2
87,https://plana.earth/academy/mitigating-climate-change-it-starts-with-better-ocean-data/,Mitigating Climate Change: It Starts With Better Ocean Data,2020-12-09,"A molecule of CO2 emitted in India or China has the same effect on the climate system as a molecule emitted in the United States. No matter where we are, climate change affects us all the same. Transformative changes require a unified approach. And we believe that starts with data.",p
